id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:banker_algorithm---feature:RANGE_ARRAY_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:cInstr,315.84,54,251.0,59980.71640000026,244.9096086314301,251.0,22,98.0,251.0,490.25,863.0799999999999,903
total of function:banker_algorithm---feature:assemblyInstr,3494.701,1385.0,3349.5,2883456.511599009,1698.0743539665773,3349.5,1385.0,2277.0,3349.5,4629.0,6185.01,32775.0
total of function:banker_algorithm---feature:clockCycles,7874.256,4198.0,7874.5,6521471.226464012,2553.717139086475,7874.5,4198.0,6296.0,7874.5,9709.0,11880.0,43100.0
total of function:banker_algorithm---feature:text,12722.912,12720.0,12720.0,2340.0642559999637,48.37421064989034,12720.0,12640.0,12720.0,12720.0,12752.0,12784.0,12784.0
total of function:banker_algorithm---feature:data,445.392,160.0,400.0,62421.358336000245,249.8426671647584,400.0,160.0,224.0,400.0,630.0,968.0,968.0
total of function:banker_algorithm---feature:bss,516.112,384.0,496.0,14908.403455999933,122.09997320228999,496.0,376.0,408.0,496.0,606.0,768.0,768.0
total of function:banker_algorithm---feature:CC4CS,63.6114683985069,26.56962025316456,30.023829108402502,6224.065044658625,78.89274392907515,30.023829108402502,4.825253664036077,14.838143457132176,30.023829108402502,77.08271028037383,372.0123076923077,460.0
total of function:banker_algorithm---feature:SS_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:SV_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_1,121.58,138.0,121.0,5589.939600000016,74.76589864369997,121.0,0.0,55.75,121.0,185.25,253.01,255.0
total of function:banker_algorithm---feature:V_VAL_2,128.324,156.0,127.5,5338.757024000001,73.066798369711,127.5,0.0,67.0,127.5,190.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_3,118.361,0.0,117.0,5970.556679000007,77.2693773690458,117.0,0.0,52.0,117.0,186.0,253.01,255.0
total of function:banker_algorithm---feature:V_VAL_4,108.05,0.0,103.5,6480.633499999995,80.50238195233726,103.5,0.0,31.0,103.5,177.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_5,106.031,0.0,100.5,6899.542039000032,83.06348198215646,100.5,0.0,26.75,100.5,179.25,252.01,255.0
total of function:banker_algorithm---feature:V_VAL_6,96.784,0.0,89.0,6904.509344000053,83.09337725715602,89.0,0.0,5.75,89.0,167.25,251.0,255.0
total of function:banker_algorithm---feature:V_VAL_7,91.317,0.0,79.5,7227.990511,85.01758942124859,79.5,0.0,0.0,79.5,165.0,253.0,255.0
